,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1320,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,1994,11.3,316,433,73.0,5629,2656,4,20,20.0,262,314,83.4,50,99,50.5,1,0.4,+0.6,1,23,4,2,50,Matches
1321,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,de Bundesliga,28,1991,15.8,445,554,80.3,7451,1455,15,31,48.4,346,406,85.2,84,117,71.8,2,3.2,-1.2,23,26,23,2,53,Matches
1322,Christoph Kramer\Christoph-Kramer,de GER,MF,M'gladbach,de Bundesliga,28,1991,16.3,796,935,85.1,13898,3533,17,34,50.0,647,730,88.6,132,171,77.2,0,0.4,-0.4,7,55,10,1,60,Matches
1323,Tom Krauß\Tom-Krauss,de GER,MF,RB Leipzig,de Bundesliga,18,2001,0.0,5,5,100.0,94,36,0,0,,3,3,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1324,Ladislav Krejčí\Ladislav-Krejci,cz CZE,DF,Bologna,it Serie A,27,1992,11.7,533,647,82.4,9136,3790,13,32,40.6,435,491,88.6,85,124,68.5,0,0.5,-0.5,10,47,20,6,91,Matches
1325,Rene Krhin\Rene-Krhin,si SVN,DFMF,Nantes,fr Ligue 1,29,1990,3.6,137,156,87.8,2752,583,0,1,0.0,103,114,90.4,34,41,82.9,0,0.0,0.0,0,1,0,0,4,Matches
1326,Felix Kroos\Felix-Kroos,de GER,MF,Union Berlin,de Bundesliga,28,1991,4.2,129,159,81.1,2418,793,3,6,50.0,94,109,86.2,32,44,72.7,0,0.3,-0.3,1,13,1,0,19,Matches
1327,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,29.5,2233,2512,88.9,44640,11749,40,56,71.4,1622,1700,95.4,571,756,75.5,5,4.0,+1.0,63,254,37,7,235,Matches
1328,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36.0,1046,1550,67.5,32750,19184,1,5,20.0,477,480,99.4,568,1065,53.3,0,0.0,0.0,0,11,0,0,3,Matches
1329,Rade Krunić\Rade-Krunic,ba BIH,MF,Milan,it Serie A,25,1993,6.0,196,235,83.4,3105,937,7,15,46.7,163,186,87.6,26,34,76.5,1,1.0,0.0,9,10,6,1,29,Matches
1330,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,26,1992,2.3,77,96,80.2,1858,743,1,2,50.0,44,51,86.3,32,43,74.4,0,0.0,0.0,0,10,1,0,10,Matches
1331,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Mallorca,es La Liga,18,2001,25.7,539,764,70.5,8493,2566,14,59,23.7,469,584,80.3,56,121,46.3,4,2.9,+1.1,34,40,33,8,91,Matches
1332,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,it Serie A,32,1987,21.5,508,729,69.7,8909,2916,14,37,37.8,413,546,75.6,81,146,55.5,3,1.9,+1.1,19,40,11,2,60,Matches
1333,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Parma,it Serie A,19,2000,32.6,905,1157,78.2,14326,4084,35,79,44.3,750,889,84.4,120,189,63.5,8,9.0,-1.0,76,67,48,9,140,Matches
1334,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,771,920,83.8,15790,5169,9,24,37.5,536,609,88.0,226,287,78.7,0,0.1,-0.1,2,45,2,0,47,Matches
1335,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,795,1022,77.8,16350,4427,9,35,25.7,569,662,86.0,217,325,66.8,0,1.8,-1.8,11,91,15,5,112,Matches
1336,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,SPAL,it Serie A,30,1989,15.7,513,679,75.6,9451,2614,13,34,38.2,385,458,84.1,115,187,61.5,0,2.1,-2.1,24,49,26,13,86,Matches
1337,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MFFW,Parma,it Serie A,30,1989,18.5,681,810,84.1,13390,3496,15,34,44.1,503,555,90.6,163,221,73.8,1,1.7,-0.7,23,50,19,8,87,Matches
1338,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,605,671,90.2,8685,2974,20,31,64.5,535,573,93.4,50,67,74.6,0,0.2,-0.2,2,36,8,2,42,Matches
1339,Dereck Kutesa\Dereck-Kutesa,ch SUI,FWMF,Reims,fr Ligue 1,21,1997,5.9,112,152,73.7,1728,540,2,11,18.2,95,119,79.8,15,22,68.2,0,0.3,-0.3,4,7,10,2,19,Matches
1340,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,19,2000,7.5,126,177,71.2,2006,397,3,12,25.0,108,142,76.1,15,23,65.2,2,1.2,+0.8,7,5,5,2,12,Matches
1341,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,476,620,76.8,8161,3287,4,17,23.5,408,480,85.0,64,123,52.0,1,0.4,+0.6,7,26,10,4,64,Matches
1342,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,27,31,87.1,324,6,2,3,66.7,24,27,88.9,1,1,100.0,0,0.2,-0.2,2,0,0,0,0,Matches
1343,Andrea La Mantia\Andrea-La-Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,80,111,72.1,1142,192,3,9,33.3,69,91,75.8,8,11,72.7,0,0.2,-0.2,4,5,0,0,6,Matches
1344,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,436,657,66.4,6445,1478,16,54,29.6,376,516,72.9,44,87,50.6,5,2.6,+2.4,25,27,19,3,55,Matches
1345,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,387,499,77.6,5867,1065,21,46,45.7,306,360,85.0,60,93,64.5,4,3.1,+0.9,22,27,23,6,36,Matches
1346,Riccardo Ladinetti\Riccardo-Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.4,59,78,75.6,1056,294,0,2,0.0,52,59,88.1,7,17,41.2,0,0.1,-0.1,3,8,0,0,5,Matches
1347,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,551,884,62.3,17995,12597,0,4,0.0,267,269,99.3,284,611,46.5,0,0.1,-0.1,2,13,1,1,2,Matches
1348,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,774,1026,75.4,20218,8928,9,15,60.0,403,465,86.7,362,546,66.3,2,0.9,+1.1,7,71,7,1,68,Matches
1349,Jack Lahne\Jack-Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,1,1,100.0,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1350,Konrad Laimer\Konrad-Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,1067,1295,82.4,18757,5597,32,74,43.2,852,956,89.1,183,265,69.1,6,2.7,+3.3,14,104,22,2,134,Matches
1351,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,1105,1564,70.7,21647,9830,9,72,12.5,834,1050,79.4,262,442,59.3,3,3.7,-0.7,41,85,47,27,217,Matches
1352,Diego Lainez\Diego-Lainez,mx MEX,MFFW,Betis,es La Liga,19,2000,3.9,89,119,74.8,1176,308,4,11,36.4,77,96,80.2,8,12,66.7,0,0.0,0.0,2,1,5,2,12,Matches
1353,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,1011,1348,75.0,23512,8329,8,45,17.8,647,761,85.0,356,542,65.7,1,2.2,-1.2,30,92,34,13,195,Matches
1354,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,eng Premier League,31,1988,4.2,229,270,84.8,3400,791,6,15,40.0,203,222,91.4,20,33,60.6,1,0.8,+0.2,5,23,4,0,18,Matches
1355,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,eng Premier League,27,1992,13.5,469,596,78.7,7262,1413,20,44,45.5,385,437,88.1,64,115,55.7,1,1.6,-0.6,17,27,19,1,51,Matches
1356,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,eng Premier League,18,2000,0.4,12,14,85.7,235,80,0,1,0.0,9,10,90.0,3,3,100.0,0,0.1,-0.1,1,0,1,0,2,Matches
1357,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,18,2000,6.5,173,235,73.6,2905,842,1,9,11.1,143,178,80.3,29,48,60.4,1,0.6,+0.4,4,11,6,5,29,Matches
1358,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,27,1992,10.3,304,389,78.1,6698,1947,2,5,40.0,196,224,87.5,106,160,66.3,0,0.1,-0.1,2,22,1,0,16,Matches
1359,Michael Lang\Michael-Lang,ch SUI,DF,Werder Bremen,de Bundesliga,28,1991,6.0,266,328,81.1,4869,1720,1,8,12.5,220,251,87.6,45,69,65.2,0,0.6,-0.6,3,11,4,3,49,Matches
1360,Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,de Bundesliga,31,1988,3.5,167,190,87.9,3608,951,2,6,33.3,108,120,90.0,57,64,89.1,0,0.0,0.0,0,8,0,0,3,Matches
1361,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,eng Premier League,28,1990,2.2,60,81,74.1,1315,254,1,3,33.3,37,49,75.5,22,29,75.9,0,0.1,-0.1,2,9,0,0,6,Matches
1362,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,26,1993,15.3,674,798,84.5,10954,3118,29,43,67.4,539,601,89.7,106,154,68.8,2,2.6,-0.6,31,66,15,3,89,Matches
1363,Gianluca Lapadula\Gianluca-Lapadula,it ITA,FW,Lecce,it Serie A,29,1990,19.8,259,333,77.8,3907,497,12,27,44.4,214,260,82.3,33,46,71.7,0,2.1,-2.1,23,11,6,0,16,Matches
1364,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,25,1994,12.2,1041,1114,93.4,22473,6786,4,12,33.3,710,733,96.9,327,369,88.6,0,0.1,-0.1,1,109,1,0,81,Matches
1365,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,35,1984,29.3,985,1246,79.1,23717,8824,10,23,43.5,570,642,88.8,405,581,69.7,0,0.2,-0.2,5,78,10,1,89,Matches
1366,Larra\Larra,es ESP,FWMF,Athletic Club,es La Liga,21,1997,2.8,45,77,58.4,657,126,2,5,40.0,38,51,74.5,5,21,23.8,0,0.1,-0.1,1,1,1,1,2,Matches
1367,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,22,1997,26.6,736,1028,71.6,22376,12494,5,5,100.0,329,333,98.8,402,690,58.3,0,0.0,0.0,1,11,0,0,1,Matches
1368,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,26,1992,28.5,339,489,69.3,4889,722,12,45,26.7,298,389,76.6,29,55,52.7,1,2.4,-1.4,20,14,16,3,29,Matches
1369,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,25,1993,23.1,669,811,82.5,14591,3589,10,22,45.5,433,505,85.7,226,284,79.6,0,0.1,-0.1,2,25,2,0,20,Matches
1370,Paul Lasne\Paul-Lasne,fr FRA,MFFW,Brest,fr Ligue 1,30,1989,13.6,540,655,82.4,8994,2286,17,35,48.6,437,496,88.1,86,124,69.4,1,1.5,-0.5,15,46,13,3,59,Matches
1371,Toni Lato\Toni-Lato,es ESP,DFMF,Osasuna,es La Liga,21,1997,5.2,168,256,65.6,2874,1175,4,16,25.0,136,171,79.5,28,69,40.6,0,0.3,-0.3,4,10,3,2,26,Matches
1372,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,29,1989,15.3,494,613,80.6,9965,2561,7,22,31.8,357,410,87.1,130,181,71.8,2,1.4,+0.6,20,42,12,1,69,Matches
1373,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,30,1989,9.8,432,535,80.7,8258,3452,8,19,42.1,325,354,91.8,99,162,61.1,2,1.1,+0.9,9,35,9,5,76,Matches
1374,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,31,1987,20.8,867,989,87.7,19296,5657,9,27,33.3,566,620,91.3,292,342,85.4,1,0.3,+0.7,7,62,5,0,61,Matches
1375,Diego Laxalt\Diego-Laxalt,uy URU,DFMF,Torino,it Serie A,26,1993,6.6,214,297,72.1,3424,1197,1,10,10.0,186,222,83.8,27,65,41.5,1,0.5,+0.5,6,11,4,2,29,Matches
1376,Diego Laxalt\Diego-Laxalt,uy URU,DF,Milan,it Serie A,26,1993,1.9,95,119,79.8,1799,627,1,3,33.3,71,79,89.9,23,37,62.2,0,0.1,-0.1,1,5,4,4,20,Matches
1377,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,eng Premier League,23,1996,5.3,158,194,81.4,2664,1051,5,7,71.4,127,138,92.0,26,49,53.1,0,0.2,-0.2,6,8,4,1,12,Matches
1378,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Inter,it Serie A,23,1996,3.6,152,200,76.0,2727,992,1,11,9.1,119,140,85.0,32,49,65.3,1,1.2,-0.2,9,6,9,5,23,Matches
1379,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,28,1990,36.0,1253,1673,74.9,20547,8574,23,91,25.3,1068,1266,84.4,162,316,51.3,7,8.1,-1.1,53,66,78,20,278,Matches
1380,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,28.3,845,1067,79.2,13717,3044,19,57,33.3,712,821,86.7,114,189,60.3,3,3.5,-0.5,38,11,43,22,77,Matches
1381,Mickaël Le Bihan\Mickael-Le-Bihan,fr FRA,FW,Nice,fr Ligue 1,29,1990,1.1,18,23,78.3,243,12,1,3,33.3,16,17,94.1,1,3,33.3,1,0.2,+0.8,1,1,1,0,1,Matches
1382,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,22,1996,26.6,1516,1695,89.4,31910,8059,11,30,36.7,1074,1149,93.5,431,516,83.5,0,0.3,-0.3,5,69,3,0,89,Matches
1383,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,29,1990,27.3,797,989,80.6,15954,5188,16,26,61.5,574,673,85.3,207,290,71.4,0,0.7,-0.7,11,85,7,2,91,Matches
1384,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12.0,324,430,75.3,6000,1285,9,18,50.0,248,293,84.6,67,119,56.3,0,0.8,-0.8,8,27,5,2,32,Matches
1385,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,it Serie A,20,1999,15.6,362,476,76.1,5996,1225,18,42,42.9,297,367,80.9,47,67,70.1,1,3.0,-2.0,30,11,24,9,43,Matches
1386,Adrien Lebeau\Adrien-Lebeau,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0.1,3,6,50.0,39,5,0,1,0.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1387,Mathew Leckie\Mathew-Leckie,au AUS,DFFW,Hertha BSC,de Bundesliga,28,1991,2.2,61,85,71.8,1103,283,1,9,11.1,50,61,82.0,10,15,66.7,0,0.0,0.0,0,3,0,0,9,Matches
1388,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,627,848,73.9,19802,13268,2,4,50.0,296,302,98.0,329,542,60.7,0,0.1,-0.1,1,5,0,0,1,Matches
1389,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,25.0,1025,1224,83.7,19334,5102,19,51,37.3,790,876,90.2,216,297,72.7,6,4.3,+1.7,34,112,25,6,134,Matches
1390,Jordan Lefort\Jordan-Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,1993,9.4,400,484,82.6,8438,3977,3,9,33.3,280,303,92.4,117,172,68.0,1,0.3,+0.7,3,22,1,1,36,Matches
1391,Wu Lei\Wu-Lei,cn CHN,FWMF,Espanyol,es La Liga,27,1991,19.1,208,317,65.6,3158,695,8,28,28.6,180,244,73.8,20,45,44.4,0,1.7,-1.7,13,13,6,3,18,Matches
1392,Toni Leistner\Toni-Leistner,de GER,DF,Köln,de Bundesliga,28,1990,11.2,524,622,84.2,13343,4804,1,8,12.5,281,314,89.5,242,300,80.7,0,0.1,-0.1,3,43,5,1,37,Matches
1393,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,eng Premier League,26,1992,7.6,472,553,85.4,7841,1732,12,23,52.2,390,430,90.7,70,100,70.0,0,0.3,-0.3,8,46,16,2,45,Matches
1394,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,32,1987,20.1,1002,1135,88.3,19833,5548,18,39,46.2,740,811,91.2,244,285,85.6,1,1.9,-0.9,18,97,11,1,114,Matches
1395,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,1991,4.9,136,187,72.7,2876,1077,0,3,0.0,97,117,82.9,39,67,58.2,0,0.1,-0.1,1,9,0,0,13,Matches
1396,Iñigo Lekue\Inigo-Lekue,es ESP,FWDF,Athletic Club,es La Liga,26,1993,6.9,195,283,68.9,3283,1060,4,13,30.8,165,200,82.5,26,70,37.1,1,0.8,+0.2,9,10,6,4,27,Matches
1397,Nicolas Lemaître\Nicolas-Lemaitre,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,22,27,81.5,492,239,0,0,,18,18,100.0,4,9,44.4,0,0.0,0.0,0,0,0,0,0,Matches
1398,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,319,405,78.8,5903,1759,8,22,36.4,240,278,86.3,71,105,67.6,0,0.4,-0.4,6,29,10,2,60,Matches
1399,Tim Lemperle\Tim-Lemperle,de GER,FWMF,Köln,de Bundesliga,17,2002,0.2,2,2,100.0,24,8,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1400,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,1989,2148,92.6,41975,13188,21,37,56.8,1366,1426,95.8,602,685,87.9,1,0.5,+0.5,5,165,2,0,106,Matches
1401,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,92,131,70.2,1435,349,3,14,21.4,75,92,81.5,14,25,56.0,0,0.1,-0.1,2,5,2,1,8,Matches
1402,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,742,990,74.9,18293,9806,5,6,83.3,486,491,99.0,251,493,50.9,0,0.0,0.0,0,3,0,0,0,Matches
1403,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,816,1143,71.4,15089,6869,16,59,27.1,606,736,82.3,194,348,55.7,3,2.6,+0.4,20,58,21,12,158,Matches
1404,Donovan Léon\Donovan-Leon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,28,41,68.3,921,545,0,0,,13,13,100.0,15,28,53.6,0,0.0,0.0,0,0,0,0,0,Matches
1405,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,32,1986,21.1,416,717,58.0,7518,2784,14,48,29.2,316,419,75.4,86,250,34.4,2,4.2,-2.2,43,26,23,15,94,Matches
1406,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,30,1989,7.5,63,108,58.3,1098,150,4,14,28.6,47,72,65.3,12,22,54.5,0,0.1,-0.1,2,4,2,0,6,Matches
1407,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,15.4,494,600,82.3,7798,2188,12,29,41.4,417,480,86.9,65,91,71.4,1,1.6,-0.6,11,39,9,3,52,Matches
1408,Mehdi Léris\Mehdi-Leris,fr FRA,MFFW,Sampdoria,it Serie A,21,1998,5.7,170,230,73.9,2892,878,4,14,28.6,142,167,85.0,24,49,49.0,1,0.4,+0.6,6,14,8,4,25,Matches
1409,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,1092,1377,79.3,21965,6525,18,41,43.9,796,932,85.4,278,404,68.8,2,1.8,+0.2,12,119,16,0,123,Matches
1410,Karlo Letica\Karlo-Letica,hr CRO,GK,SPAL,it Serie A,22,1997,10.0,202,319,63.3,6415,4473,3,4,75.0,104,104,100.0,95,211,45.0,0,0.0,0.0,1,0,0,0,0,Matches
1411,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,592,783,75.6,9019,1801,15,56,26.8,504,619,81.4,73,108,67.6,4,5.7,-1.7,37,36,43,7,77,Matches
1412,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,1036,1306,79.3,17173,6330,15,59,25.4,887,1023,86.7,134,224,59.8,0,1.0,-1.0,15,41,20,8,115,Matches
1413,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,142,183,77.6,1879,252,7,12,58.3,122,153,79.7,13,18,72.2,0,0.2,-0.2,4,11,2,0,11,Matches
1414,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,404,584,69.2,7245,4197,7,30,23.3,327,405,80.7,70,149,47.0,1,0.6,+0.4,9,31,9,4,123,Matches
1415,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,810,1038,78.0,18853,4513,10,22,45.5,509,564,90.2,291,452,64.4,3,2.7,+0.3,34,89,24,10,115,Matches
1416,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,891,1024,87.0,20842,5647,1,9,11.1,552,588,93.9,338,427,79.2,1,0.7,+0.3,2,48,4,0,48,Matches
1417,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,1394,1525,91.4,29594,7983,36,51,70.6,923,981,94.1,435,493,88.2,0,0.3,-0.3,3,80,1,0,54,Matches
1418,Isaac Lihadji\Isaac-Lihadji,fr FRA,DFMF,Marseille,fr Ligue 1,17,2002,0.3,12,16,75.0,189,62,0,2,0.0,10,12,83.3,2,2,100.0,0,0.0,0.0,0,1,1,0,3,Matches
1419,Lillo\Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,100,124,80.6,2164,871,0,2,0.0,75,84,89.3,25,38,65.8,0,0.1,-0.1,1,10,3,1,26,Matches
1420,Anderson Lima\Anderson-Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.7,25,30,83.3,426,145,1,1,100.0,21,23,91.3,3,6,50.0,0,0.3,-0.3,2,4,0,0,5,Matches
1421,Lucas Lima\Lucas-Lima,br BRA,FWDF,Nantes,fr Ligue 1,27,1991,3.0,121,180,67.2,2282,856,1,8,12.5,98,115,85.2,22,57,38.6,0,0.3,-0.3,5,12,4,2,23,Matches
1422,Anthony Limbombe\Anthony-Limbombe,be BEL,FWMF,Nantes,fr Ligue 1,25,1994,1.7,36,53,67.9,527,148,1,4,25.0,31,39,79.5,4,10,40.0,0,0.1,-0.1,2,1,0,0,4,Matches
1423,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,1764,2013,87.6,35557,11011,15,37,40.5,1280,1370,93.4,469,606,77.4,0,0.3,-0.3,4,83,1,0,95,Matches
1424,Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,22.4,595,765,77.8,9994,3045,12,38,31.6,483,570,84.7,100,157,63.7,3,2.1,+0.9,29,49,19,8,92,Matches
1425,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,26,1992,10.4,351,409,85.8,5153,991,15,25,60.0,299,334,89.5,37,50,74.0,0,0.9,-0.9,17,31,11,0,33,Matches
1426,Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,29.4,979,1311,74.7,17355,6693,21,67,31.3,784,913,85.9,174,331,52.6,2,2.8,-0.8,33,71,34,11,168,Matches
1427,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,1410,1598,88.2,31683,7679,8,22,36.4,926,990,93.5,476,586,81.2,1,0.2,+0.8,4,74,2,0,61,Matches
1428,Fernando Llorente\Fernando-Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,127,156,81.4,1822,142,3,9,33.3,113,132,85.6,11,15,73.3,1,0.7,+0.3,10,2,3,0,4,Matches
1429,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,24,1995,15.2,395,507,77.9,6233,1632,18,45,40.0,320,379,84.4,57,83,68.7,3,3.0,0.0,15,27,10,2,39,Matches
1430,Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,161,175,92.0,3002,916,0,2,0.0,132,139,95.0,29,34,85.3,0,0.0,0.0,0,0,0,0,5,Matches
1431,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,395,568,69.5,13104,8620,3,3,100.0,179,181,98.9,213,384,55.5,0,0.0,0.0,0,10,0,0,0,Matches
1432,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,eng Premier League,23,1996,16.6,832,1005,82.8,15375,3977,18,36,50.0,638,712,89.6,176,257,68.5,2,2.1,-0.1,29,91,27,2,103,Matches
1433,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,683,777,87.9,12358,2936,16,27,59.3,527,584,90.2,140,166,84.3,0,0.5,-0.5,10,52,5,0,61,Matches
1434,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,8.4,608,646,94.1,10855,2265,14,18,77.8,469,496,94.6,125,132,94.7,0,0.2,-0.2,6,58,2,0,41,Matches
1435,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,eng Premier League,25,1993,1.0,9,19,47.4,136,8,0,3,0.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1436,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,97,133,72.9,1504,263,3,10,30.0,82,104,78.8,12,19,63.2,0,0.1,-0.1,3,8,3,1,8,Matches
1437,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,28.7,1886,2178,86.6,35565,8512,25,48,52.1,1466,1595,91.9,395,535,73.8,5,4.3,+0.7,47,219,32,3,179,Matches
